triggercell,isHDM,eLinkChannel,eLink,nHGROC
0,False,0,0,0
1,False,1,0,0
2,False,2,0,0
3,False,3,0,0
4,False,0,1,0
5,False,1,1,0
6,False,2,1,0
7,False,3,1,0
8,False,0,2,0
9,False,1,2,0
10,False,2,2,0
11,False,3,2,0
12,False,0,3,0
13,False,1,3,0
14,False,2,3,0
15,False,3,3,0
16,False,0,4,1
17,False,1,4,1
18,False,2,4,1
19,False,3,4,1
20,False,0,5,1
21,False,1,5,1
22,False,2,5,1
23,False,3,5,1
24,False,0,6,1
25,False,1,6,1
26,False,2,6,1
27,False,3,6,1
28,False,0,7,1
29,False,1,7,1
30,False,2,7,1
31,False,3,7,1
32,False,0,8,2
33,False,1,8,2
34,False,2,8,2
35,False,3,8,2
36,False,0,9,2
37,False,1,9,2
38,False,2,9,2
39,False,3,9,2
40,False,0,10,2
41,False,1,10,2
42,False,2,10,2
43,False,3,10,2
44,False,0,11,2
45,False,1,11,2
46,False,2,11,2
47,False,3,11,2
0,True,0,0,0
1,True,1,0,0
2,True,2,0,0
3,True,3,0,0
4,True,0,1,0
5,True,1,1,0
6,True,2,1,0
7,True,3,1,0
8,True,0,2,1
9,True,1,2,1
10,True,2,2,1
11,True,3,2,1
12,True,0,3,1
13,True,1,3,1
14,True,2,3,1
15,True,3,3,1
16,True,0,4,2
17,True,1,4,2
18,True,2,4,2
19,True,3,4,2
20,True,0,5,2
21,True,1,5,2
22,True,2,5,2
23,True,3,5,2
24,True,0,6,3
25,True,1,6,3
26,True,2,6,3
27,True,3,6,3
28,True,0,7,3
29,True,1,7,3
30,True,2,7,3
31,True,3,7,3
32,True,0,8,4
33,True,1,8,4
34,True,2,8,4
35,True,3,8,4
36,True,0,9,4
37,True,1,9,4
38,True,2,9,4
39,True,3,9,4
40,True,0,10,5
41,True,1,10,5
42,True,2,10,5
43,True,3,10,5
44,True,0,11,5
45,True,1,11,5
46,True,2,11,5
47,True,3,11,5
