triggercell,isHDM,nlinkbits,nlink,nHGROC
0,False,0,0,0
1,False,1,0,0
2,False,2,0,0
3,False,3,0,0
4,False,0,1,0
5,False,1,1,0
6,False,2,1,0
7,False,3,1,0
8,False,0,2,0
9,False,1,2,0
10,False,2,2,0
11,False,3,2,0
12,False,0,3,0
13,False,1,3,0
14,False,2,3,0
15,False,3,3,0
16,False,0,0,1
17,False,1,0,1
18,False,2,0,1
19,False,3,0,1
20,False,0,1,1
21,False,1,1,1
22,False,2,1,1
23,False,3,1,1
24,False,0,2,1
25,False,1,2,1
26,False,2,2,1
27,False,3,2,1
28,False,0,3,1
29,False,1,3,1
30,False,2,3,1
31,False,3,3,1
32,False,0,0,2
33,False,1,0,2
34,False,2,0,2
35,False,3,0,2
36,False,0,1,2
37,False,1,1,2
38,False,2,1,2
39,False,3,1,2
40,False,0,2,2
41,False,1,2,2
42,False,2,2,2
43,False,3,2,2
44,False,0,3,2
45,False,1,3,2
46,False,2,3,2
47,False,3,3,2
0,True,0,0,0
1,True,1,0,0
2,True,2,0,0
3,True,3,0,0
4,True,0,1,0
5,True,1,1,0
6,True,2,1,0
7,True,3,1,0
8,True,0,0,1
9,True,1,0,1
10,True,2,0,1
11,True,3,0,1
12,True,0,1,1
13,True,1,1,1
14,True,2,1,1
15,True,3,1,1
16,True,0,0,2
17,True,1,0,2
18,True,2,0,2
19,True,3,0,2
20,True,0,1,2
21,True,1,1,2
22,True,2,1,2
23,True,3,1,2
24,True,0,0,3
25,True,1,0,3
26,True,2,0,3
27,True,3,0,3
28,True,0,1,3
29,True,1,1,3
30,True,2,1,3
31,True,3,1,3
32,True,0,0,4
33,True,1,0,4
34,True,2,0,4
35,True,3,0,4
36,True,0,1,4
37,True,1,1,4
38,True,2,1,4
39,True,3,1,4
40,True,0,0,5
41,True,1,0,5
42,True,2,0,5
43,True,3,0,5
44,True,0,1,5
45,True,1,1,5
46,True,2,1,5
47,True,3,1,5
